City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
naze,28.37,129.48,77.0,100,100,2.24,JP,1595445369
cherepanovo,54.22,83.38,52.74,95,94,5.41,RU,1595445370
cuajinicuilapa,16.47,-98.42,90.09,57,78,5.32,MX,1595445370
bulaevo,54.91,70.44,60.31,73,0,2.04,KZ,1595445370
burns lake,54.23,-125.75,67.8,43,71,4.72,CA,1595445370
ajaccio,42.0,8.92,78.8,57,0,3.36,FR,1595445370
hearst,49.68,-83.67,75.69,39,100,1.48,CA,1595445371
kourou,5.16,-52.65,84.2,70,98,6.93,GF,1595445371
havelock,34.88,-76.9,93.2,59,40,12.75,US,1595445371
belyy yar,53.6,91.39,57.2,93,79,4.47,RU,1595445371
barroso,-21.19,-43.98,76.75,37,0,2.75,BR,1595445371
huainan,32.63,117.0,72.16,96,46,8.14,CN,1595445371
lebu,-37.62,-73.65,54.07,71,15,1.36,CL,1595445058
podgornoye,51.73,39.15,68.0,49,8,15.66,RU,1595445372
victor harbor,-35.57,138.62,46.0,92,29,1.01,AU,1595445372
nuuk,64.18,-51.72,60.8,59,40,12.75,GL,1595445372
san antonio del norte,13.88,-87.7,87.8,58,40,11.41,HN,1595445372
fort-shevchenko,44.51,50.26,79.05,68,0,8.57,KZ,1595445372
araguaina,-7.19,-48.21,94.57,25,5,8.23,BR,1595445372
paita,-5.09,-81.11,77.0,65,22,13.87,PE,1595445372
berbera,10.44,45.01,91.45,41,100,22.35,SO,1595445373
toba tek singh,30.97,72.48,91.69,41,0,3.74,PK,1595445373
san quintin,30.48,-115.95,71.78,68,16,13.51,MX,1595445373
zaysan,47.47,84.87,63.99,61,56,4.88,KZ,1595445373
mian channun,30.44,72.35,91.42,42,0,5.06,PK,1595445373
hays,30.05,-98.03,93.99,47,69,1.01,US,1595445374
porto novo,6.5,2.6,77.0,88,20,11.41,BJ,1595445374
durban,-29.86,31.03,64.99,93,0,3.36,ZA,1595445358
saint-paul,-21.01,55.27,60.8,72,40,8.05,RE,1595445374
puerto narino,-3.77,-70.38,89.6,70,75,4.7,CO,1595445375
tolmachevo,54.98,82.74,51.8,100,0,6.71,RU,1595445375
amahai,-3.33,128.92,76.69,87,41,8.52,ID,1595445375
iberia,29.95,-91.75,91.4,59,1,6.93,US,1595445375
ninh binh,20.25,105.97,80.8,84,0,4.36,VN,1595445375
valera,9.32,-70.6,83.61,61,91,2.46,VE,1595445375
anori,-3.77,-61.64,94.24,40,99,2.98,BR,1595445376
kaeo,-35.1,173.78,52.0,3,9,7.0,NZ,1595445376
svetlyy,54.67,20.13,55.4,82,40,8.95,RU,1595445376
sola,-13.88,167.55,78.8,69,40,10.29,VU,1595445087
atasu,48.68,71.64,68.59,61,72,8.32,KZ,1595445376
antofagasta,-23.65,-70.4,59.0,72,40,16.11,CL,1595444921
havoysund,71.0,24.66,48.2,93,75,9.17,NO,1595445377
khuzhir,53.19,107.34,53.04,93,100,4.97,RU,1595445377
rodez,44.5,2.58,78.8,50,0,4.7,FR,1595445377
sayan,-11.14,-77.19,75.4,38,0,9.13,PE,1595445377
tautira,-17.73,-149.15,78.8,69,75,2.24,PF,1595445377
paramonga,-10.67,-77.83,66.56,67,3,9.64,PE,1595445378
luzilandia,-3.46,-42.37,90.81,40,0,2.33,BR,1595445378
naftalan,40.51,46.83,73.4,94,75,12.75,AZ,1595445378
meadow lake,34.8,-106.54,84.2,30,75,8.05,US,1595445378
rock springs,41.59,-109.2,80.6,18,20,3.36,US,1595445293
vestmannaeyjar,63.44,-20.27,55.4,82,40,4.7,IS,1595445378
lapua,62.97,23.01,55.99,85,100,3.0,FI,1595445379
florianopolis,-27.61,-48.5,81.0,47,100,8.05,BR,1595445336
kutum,14.2,24.67,82.42,40,70,11.41,SD,1595445379
dingle,11.0,122.67,76.59,86,38,3.65,PH,1595445059
chapleau,47.84,-83.4,60.8,93,90,3.36,CA,1595445077
la libertad,-2.23,-80.9,75.2,73,75,8.05,EC,1595445104
banda aceh,5.56,95.32,77.86,84,100,9.28,ID,1595445379
san matias,-16.37,-58.4,96.87,17,0,6.51,BO,1595445161
bilma,18.69,12.92,95.54,22,57,1.57,NE,1595445112
alofi,-19.06,-169.92,75.2,94,34,4.7,NU,1595445380
asyut,27.18,31.18,89.2,20,0,9.89,EG,1595445380
sorong,-0.88,131.25,78.31,87,22,9.19,ID,1595445380
maniitsoq,65.42,-52.9,55.35,74,0,9.78,GL,1595445380
dubbo,-32.25,148.62,39.2,100,7,10.29,AU,1595445380
eyrarbakki,63.86,-21.15,57.99,66,75,13.87,IS,1595445380
khuzdar,27.74,66.64,81.7,50,94,9.71,PK,1595445381
saint-marc-des-carrieres,46.68,-72.05,77.0,44,20,5.82,CA,1595445381
potsdam,52.4,13.07,68.0,52,82,3.29,DE,1595445362
labuhan,-6.88,112.21,75.87,86,4,7.92,ID,1595445381
tambo grande,-4.93,-80.34,87.73,37,32,10.89,PE,1595445381
kikwit,-5.04,18.82,82.33,24,10,0.72,CD,1595445381
anloga,5.79,0.9,77.0,88,20,9.17,GH,1595445381
la macarena,2.18,-73.78,80.55,87,100,1.16,CO,1595445381
guiratinga,-16.35,-53.76,89.33,21,0,5.7,BR,1595445382
mount isa,-20.73,139.5,57.2,33,0,6.93,AU,1595445113
la palma,33.85,-118.05,72.0,73,90,3.36,US,1595445165
parit buntar,5.13,100.49,78.8,94,20,3.02,MY,1595445382
praia,14.92,-23.51,82.4,74,20,10.29,CV,1595445110
altay,47.87,88.12,61.48,62,48,2.39,CN,1595445085
muzhi,65.37,64.67,55.83,69,0,9.17,RU,1595445126
eureka,40.8,-124.16,66.0,72,90,5.82,US,1595444831
kenai,60.55,-151.26,57.99,82,90,9.24,US,1595445312
mandali,33.75,45.55,96.28,11,0,9.22,IQ,1595445383
yongan,39.7,113.69,61.09,81,48,3.29,CN,1595445383
sohag,26.56,31.69,88.16,20,1,7.65,EG,1595445383
yerbogachen,61.28,108.01,49.08,91,0,2.04,RU,1595445383
oriximina,-1.77,-55.87,91.13,45,97,5.01,BR,1595445383
san andres,12.58,-81.7,87.8,74,75,6.93,CO,1595445088
hermosillo,29.07,-110.97,98.6,39,75,6.93,MX,1595445154
matagami,49.75,-77.63,75.2,44,20,0.83,CA,1595444784
camacha,33.08,-16.33,69.8,73,75,11.41,PT,1595445132
cayenne,4.93,-52.33,82.4,74,67,4.7,GF,1595445117
goderich,43.75,-81.72,82.0,83,8,12.55,CA,1595445092
sandwick,60.0,-1.25,57.2,76,20,10.29,GB,1595445384
kassala,15.45,36.4,88.27,46,38,17.98,SD,1595445384
port-gentil,-0.72,8.78,78.8,78,20,14.32,GA,1595445116
umm kaddadah,13.6,26.69,85.5,54,55,21.56,SD,1595445384
bud,39.45,-86.18,81.0,83,100,12.39,US,1595445385
glinka,54.64,32.88,52.3,91,0,9.37,RU,1595445385
ciudad bolivar,8.12,-63.55,88.11,59,88,6.78,VE,1595445385
salur,18.53,83.22,81.39,82,100,2.89,IN,1595445385
poum,-20.23,164.02,70.7,76,64,21.09,NC,1595445065
labytnangi,66.66,66.42,50.83,76,0,4.32,RU,1595445385
south river,40.45,-74.39,96.01,52,89,4.0,US,1595445385
nguru,12.88,10.45,92.12,39,64,5.57,NG,1595445385
belaya kalitva,48.17,40.78,71.26,60,15,9.69,RU,1595445386
cabedelo,-6.98,-34.83,78.8,69,3,13.87,BR,1595445103
dogondoutchi,13.64,4.03,94.98,35,100,5.86,NE,1595445386
salinopolis,-0.61,-47.36,82.11,80,100,11.18,BR,1595445079
gazanjyk,39.24,55.52,87.87,46,0,12.93,TM,1595445386
kharar,30.74,76.65,81.5,67,0,5.03,IN,1595445386
champerico,14.3,-91.92,84.2,79,75,9.17,GT,1595445386
kieta,-6.22,155.63,78.01,79,72,5.64,PG,1595445387
nioro,13.35,-15.75,84.22,72,69,8.34,GM,1595445097
peace river,56.25,-117.29,69.8,56,75,9.17,CA,1595445338
maarianhamina,60.1,19.93,57.2,58,61,4.7,AX,1595445387
hami,42.8,93.45,82.49,26,100,9.93,CN,1595444779
adrar,20.5,-10.07,107.76,8,6,13.15,MR,1595445387
lavrentiya,65.58,-171.0,49.95,58,0,1.48,RU,1595445076
tupik,54.43,119.93,57.7,78,100,3.04,RU,1595445387
ushtobe,45.25,77.98,72.5,45,0,8.72,KZ,1595445388
san giovanni rotondo,41.7,15.72,84.2,45,5,10.29,IT,1595445388
shirokiy,49.76,129.52,61.34,86,100,4.38,RU,1595445388
leirvik,59.78,5.5,60.01,69,25,1.99,NO,1595445388
alyangula,-13.85,136.42,59.0,93,0,8.81,AU,1595445091
